primary_segment;cup;cig;title;category;region;province;municipality;value_eur;client;contractors;contractor_tax_codes;award_amount_eur;award_share_pct;award_weight;ratio_note;award_date;award_result;award_criteria;award_discount;admitted_offers;bidders_count;subcontracting;included_services;id_aggiudicazione;source_url
Edilizia;B44D20000040001;B4780F18D0;PROLUNGAMENTO M1 QUARTIERE BAGGIO - OLMI -VALSESIA;Residenziale pubblico / ERS;LOMBARDIA;MILANO;MILANO;398000000.0;COMUNE DI MILANO - MI -;GHELLA S.P.A. (MANDANTE) | VIANINI LAVORI - S.P.A (CONSORZIATO ESECUTORE DI UN CONSORZIO O CONSORZIATO NON ESECUTORE CHE FORNISCE REQUISITI AL CONSORZIO) | I.CO.P. S.P.A. SOCIETA' BENEFIT (CONSORZIATO ESECUTORE DI UN CONSORZIO O CONSORZIATO NON ESECUTORE CHE FORNISCE REQUISITI AL CONSORZIO) | ITINERA S.P.A. (CONSORZIATO ESECUTORE DI UN CONSORZIO O CONSORZIATO NON ESECUTORE CHE FORNISCE REQUISITI AL CONSORZIO) | C.M.B. SOCIETA' COOPERATIVA MURATORI E BRACCIANTI DI CARPI ABBREVIABILE IN C.M.B. SOCIETA' COOPERATIVA (MANDANTE) | ETERIA CONSORZIO STABILE SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA (MANDATARIA);00154410369 | 00298880303 | 00462220583 | 01668980061 | 03873930584 | 16242941009;459868283.73;115.54479490703517;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2025-06-19;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: CRITERIO DEL MINOR PREZZO;6.23;1;1;false;SOLA ESECUZIONE;17326674;https://www.opencup.gov.it/portale/progetto/-/cup/B44D20000040001
Edilizia;B49G24000150007;B2BD516083;CASA DI RIPOSO F.LLI STUPARICH GESTITA DAL COMUNE DI DUINO AURISINA;Sanità / RSA;FRIULI-VENEZIA GIULIA;TRIESTE;DUINO-AURISINA;164584224.0;COMUNE DI DUINO-AURISINA - TRIESTE -;KCS CAREGIVER COOPERATIVA SOCIALE (OPERATORE ECONOMICO MONOSOGGETTIVO);02125100160;164584224.0;100.0;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2025-08-26;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: COMPETIZIONE SOLO IN BASE A CRITERI QUALITATIVI;100.0;1;1;false;;18243247;https://www.opencup.gov.it/portale/progetto/-/cup/B49G24000150007
Edilizia;F41G08000000008;0429752291;PORTO DI TREMESTIERI;Riqualificazione urbana;SICILIA;MESSINA;MESSINA;80000000.0;COMUNE DI MESSINA - ME -;NUOVA CO.ED.MAR. S.R.L. | COSTRUZIONI BRUNO TEODORO S.P.A.;02669810836 | 03422680276;105449205.09;131.8115063625;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2017-02-07;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIU' VANTAGGIOSA;15.034;8;8;true;PROGETTAZIONE ED ESECUZIONE (SU PROGETTO DEFINITIVO);1452779;https://www.opencup.gov.it/portale/progetto/-/cup/F41G08000000008
Edilizia;I58I21002190003;9575560217;OSPEDALE DI BOLZANO;Sanità / RSA;TRENTINO-ALTO ADIGE;BOLZANO;BOLZANO;134300000.0;AZIENDA SANITARIA DELLA PROVINCIA AUTONOMA DI BOLZANO;CARRON BAU S.R.L. - G.M.B.H. (MANDATARIA) | UNIONBAU SPA (MANDANTE);00159560218 | 02829390216;93461710.69;69.59174288160834;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2023-03-01;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;0.01214;1;1;false;SOLA ESECUZIONE;2560988;https://www.opencup.gov.it/portale/progetto/-/cup/I58I21002190003
Edilizia;H15F21000630001;A0261CFBAF;STADIO ARTEMIO FRANCHI;Sport / impianti sportivi;TOSCANA;FIRENZE;FIRENZE;95000000.0;COMUNE DI FIRENZE - FI -;COSTRUZIONI BAROZZI SOCIETA' PER AZIONI (MANDATARIA) | S.A.C. - SOCIETA' APPALTI COSTRUZIONI - SOCIETA' PER AZIONI (MANDANTE);01391020581 | 06605700720;90039618.35;94.77854563157894;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2024-03-10;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;1.0;2;2;true;SOLA ESECUZIONE;2783723;https://www.opencup.gov.it/portale/progetto/-/cup/H15F21000630001
Edilizia;F41B21005960005;A055B36FED;BIBLIOTECA EUROPEA DI INFORMAZIONE E CULTURA - BEIC;Scuole / formazione;LOMBARDIA;MILANO;MILANO;101574000.0;COMUNE DI MILANO - MI -;CONPAT SCARL (MANDATARIA) | OMNIA SERVITIA S.R.L. (MANDANTE);02058900693 | 06044391214;89042694.36;87.66288061905605;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2023-11-03;AGGIUDICATA;;0.0;0;0;true;;2784070;https://www.opencup.gov.it/portale/progetto/-/cup/F41B21005960005
Lavori pubblici strade;C71B03000380003;9400103A62;S.S. N. 239 DI CAMPIGLIO;Infrastrutture / parcheggi;TRENTINO-ALTO ADIGE;TRENTO;PINZOLO;70000000.0;PROVINCIA AUTONOMA DI TRENTO;CONSORZIO STABILE S.A.C. COSTRUZIONI SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA;01666280621;85759239.75;122.51319964285715;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2023-05-10;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;4.62;1;1;true;PROGETTAZIONE ED ESECUZIONE (SU PROGETTO DEFINITIVO);2626977;https://www.opencup.gov.it/portale/progetto/-/cup/C71B03000380003
Edilizia;H31B21004800001;B8EB4FB9C2;MUSEO DEL MEDITERRANEO WATERFRONT DI RC;Cultura / centri civici;CALABRIA;REGGIO DI CALABRIA;REGGIO DI CALABRIA;54000000.0;COMUNE DI REGGIO DI CALABRIA - RC -;COSTRUZIONI BAROZZI SOCIETA' PER AZIONI (OPERATORE ECONOMICO MONOSOGGETTIVO);06605700720;80937980.87;149.88514975925926;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2025-11-03;AGGIUDICATA;;0.0;;;false;;18403443;https://www.opencup.gov.it/portale/progetto/-/cup/H31B21004800001
Impiantisti sottoservizi;B33H19001390001;8981393FF4;RIBALTAMENTO A MARE FINCANTIERI - 1° E 3° LOTTO;Ambiente / rifiuti / depurazione;LIGURIA;GENOVA;GENOVA;58095000.0;COMUNE DI GENOVA - GE -;ICM S.P.A. (MANDANTE) | CONSORZIO INTEGRA SOCIETA' COOPERATIVA (MANDANTE) | GIUGGIA COSTRUZIONI SOCIETA' A RESPONSABILITA' LIMITATA (MANDANTE) | CONSORZIO STABILE GRANDI LAVORI S.C.R.L. (MANDATARIA);00184540276 | 03530851207 | 03629600044 | 04490580653;77661376.0;133.6799655736294;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2021-12-30;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIÙ VANTAGGIOSA: MIGLIOR RAPPORTO QUALITÀ / PREZZO;4.51;2;2;true;PROGETTAZIONE ED ESECUZIONE (SU PROGETTO DEFINITIVO);2814597;https://www.opencup.gov.it/portale/progetto/-/cup/B33H19001390001
Impiantisti sottoservizi;J76G16000220004;69483675D6;TERRITORIO DELL'AMBITO TERRITORIALE OTTIMALE ARO 2 LECCE - PUGLIA FORMATO DAI COMUNI DI MELENDUGNO (CAPOFILA) CALIMERA, CASTRI DI LECCE, VERNOLE, CAPRARICA DI LECCE, SAN DONATO DI LECCE, SAN PIETRO IN LAMA, SAN CESARIO DI LECCE, CAVALLINO E LIZZANELLO;Ambiente / rifiuti / depurazione;PUGLIA;LECCE;MELENDUGNO;78568283.0;COMUNE DI MELENDUGNO - LE -;ECOTECNICA *SRL (MANDATARIA) | IGECO COSTRUZIONI S.P.A (MANDANTE);02051620751 | 03290950751;76782255.84;97.72678351644772;Appalto principale / molto rilevante;Rapporto importo/valore coerente;2018-06-06;AGGIUDICATA;OFFERTA ECONOMICAMENTE PIU' VANTAGGIOSA;0.0;11;11;false;SOLA ESECUZIONE;1417416;https://www.opencup.gov.it/portale/progetto/-/cup/J76G16000220004
